client_id,client_name,country,investment_goal,risk_profile,account_type
1,Michael Lutz,Latvia,Balanced,Moderate,individual
2,Benjamin French,South Africa,Balanced,Conservative,individual
3,Robert Dunn,United States Minor Outlying Islands,Balanced,Moderate,corporate
4,Alexis Anderson,Bouvet Island (Bouvetoya),Balanced,Conservative,corporate
5,Julia Williams,Togo,Balanced,Conservative,individual
6,Angela Jackson,Bosnia and Herzegovina,Growth,Aggressive,corporate
7,Julie Hansen,Costa Rica,Income,Moderate,individual
8,Jonathan Snow,Cyprus,Balanced,Aggressive,individual
9,William Walker,Macao,Growth,Aggressive,corporate
10,Yvonne Douglas,Cote d'Ivoire,Growth,Conservative,individual
11,Kathleen Henry,British Indian Ocean Territory (Chagos Archipelago),Growth,Aggressive,individual
12,Kenneth Phelps,Estonia,Growth,Moderate,individual
13,Debra Green,Sri Lanka,Growth,Moderate,corporate
14,Pamela Baker,Netherlands,Growth,Conservative,individual
15,Brian Howard,Lesotho,Income,Aggressive,corporate
16,Curtis Curry,Comoros,Growth,Aggressive,corporate
17,Miss Kimberly Crawford,Burkina Faso,Growth,Conservative,corporate
18,Vanessa Chambers,India,Income,Moderate,corporate
19,Catherine Tate,Bouvet Island (Bouvetoya),Income,Aggressive,corporate
20,Jeffrey Taylor,Brazil,Balanced,Aggressive,individual
21,William Booker,China,Income,Conservative,individual
22,Dr. Jeffery Gross,American Samoa,Income,Conservative,individual
23,Gary Campbell,Cameroon,Income,Conservative,corporate
24,Karen King,Japan,Growth,Aggressive,individual
25,Jimmy Wiley,Saint Vincent and the Grenadines,Growth,Conservative,corporate
26,Patricia Walls,Greece,Income,Aggressive,corporate
27,Robert Rojas,Moldova,Balanced,Aggressive,corporate
28,Nicole Brown,Somalia,Balanced,Conservative,corporate
29,Victor Grimes,Belize,Balanced,Moderate,individual
30,Nathan Buchanan,Kenya,Balanced,Conservative,individual
31,Chad Boyd,Netherlands,Growth,Aggressive,corporate
32,Michele Mendez,Iraq,Growth,Conservative,individual
33,Shane Alvarez,Malta,Growth,Aggressive,corporate
34,Sarah Anderson,Sao Tome and Principe,Growth,Aggressive,corporate
35,Kim Turner,Namibia,Balanced,Conservative,corporate
36,Steven Mckinney,Sierra Leone,Income,Aggressive,individual
37,Sabrina Warren,Botswana,Balanced,Moderate,individual
38,Ashley Banks,Uzbekistan,Income,Aggressive,individual
39,Vincent Branch,Slovenia,Income,Moderate,corporate
40,Dylan Brown,Bangladesh,Growth,Aggressive,corporate
41,Bonnie Castro,British Virgin Islands,Income,Aggressive,corporate
42,Barbara Richards,Singapore,Growth,Aggressive,individual
43,Melanie Pierce,Sudan,Balanced,Conservative,individual
44,Matthew Hamilton,North Macedonia,Growth,Moderate,individual
45,Jason Brown,Syrian Arab Republic,Growth,Aggressive,corporate
46,Katherine Massey,Fiji,Balanced,Moderate,individual
47,Daniel Rodriguez,Korea,Growth,Conservative,corporate
48,Marissa Ramirez,Vanuatu,Growth,Aggressive,individual
49,Gary Rogers,Andorra,Income,Aggressive,individual
50,Christopher Taylor,Saint Martin,Growth,Aggressive,corporate
51,Melissa Butler,Bosnia and Herzegovina,Balanced,Conservative,corporate
52,Jessica Sanchez,Liberia,Growth,Conservative,individual
53,Angelica Mosley,Palestinian Territory,Balanced,Aggressive,individual
54,Christopher Evans,Anguilla,Income,Moderate,individual
55,Mrs. Bonnie Dennis MD,Saint Kitts and Nevis,Growth,Conservative,individual
56,Amanda Ross,Gabon,Balanced,Moderate,corporate
57,William Reyes,American Samoa,Income,Moderate,individual
58,Jessica Harris,Sri Lanka,Balanced,Moderate,individual
59,Sharon Townsend,Heard Island and McDonald Islands,Balanced,Conservative,corporate
60,Jeffery Pena,Swaziland,Growth,Moderate,corporate
61,Anna Clark,El Salvador,Income,Moderate,individual
62,Jodi Schmitt,Sao Tome and Principe,Income,Moderate,individual
63,Scott Cowan,Solomon Islands,Income,Aggressive,individual
64,Ernest Edwards,Zambia,Income,Moderate,individual
65,Sherry Rodriguez,New Caledonia,Income,Aggressive,corporate
66,Kathleen Moore,Lesotho,Balanced,Conservative,corporate
67,Lisa Velasquez,Chad,Growth,Conservative,corporate
68,Michael Elliott,Cayman Islands,Income,Conservative,corporate
69,George Ruiz,Malaysia,Growth,Conservative,corporate
70,Shelby Howe,Niger,Balanced,Aggressive,corporate
71,Andrew Smith,Pakistan,Growth,Aggressive,corporate
72,Timothy Brown,Azerbaijan,Growth,Aggressive,corporate
73,Lisa Walters,Anguilla,Growth,Conservative,individual
74,Kenneth Martin,Tajikistan,Balanced,Conservative,corporate
75,Rebecca Morris MD,Thailand,Growth,Moderate,corporate
76,Cody Brown,New Zealand,Income,Conservative,corporate
77,Andrew Collier,Poland,Growth,Aggressive,corporate
78,Ricardo Peterson,Spain,Balanced,Conservative,corporate
79,Corey Rodriguez,Portugal,Income,Conservative,individual
80,Mark Garcia,Jordan,Balanced,Aggressive,corporate
81,David George,Jamaica,Income,Moderate,corporate
82,Rose Green,Argentina,Growth,Moderate,corporate
83,James Calderon,Lithuania,Balanced,Moderate,individual
84,Megan Delgado,Zambia,Income,Moderate,corporate
85,Stephen Kemp,Tanzania,Income,Aggressive,individual
86,Roger Torres,Korea,Growth,Conservative,corporate
87,Derek Nicholson,Antarctica (the territory South of 60 deg S),Growth,Moderate,corporate
88,John Cannon,Reunion,Income,Moderate,corporate
89,Jose Kerr,Heard Island and McDonald Islands,Balanced,Aggressive,corporate
90,Christine Mueller,Greece,Growth,Aggressive,corporate
91,Amber Collier,Guinea-Bissau,Balanced,Moderate,individual
92,Miss Vanessa Wilson,Norway,Growth,Conservative,individual
93,William Yu,Aruba,Balanced,Conservative,corporate
94,Sharon Tate,Canada,Growth,Aggressive,individual
95,David Stone,Malta,Income,Conservative,corporate
96,Rebecca Chandler,Svalbard & Jan Mayen Islands,Balanced,Moderate,individual
97,Maria Miller,Saint Barthelemy,Balanced,Moderate,corporate
98,James Jackson,United States Minor Outlying Islands,Balanced,Aggressive,individual
99,Nancy Mullins,Slovenia,Balanced,Aggressive,individual
100,Ronald Anderson,Montenegro,Growth,Aggressive,individual
101,William Johnson,El Salvador,Income,Conservative,individual
102,Jennifer Watson,Congo,Growth,Aggressive,individual
103,Francisco Morales,Wallis and Futuna,Income,Aggressive,corporate
104,James Ramirez,Suriname,Balanced,Aggressive,individual
105,Joshua Gonzalez,Netherlands Antilles,Growth,Moderate,corporate
106,Brett Lopez,Afghanistan,Growth,Moderate,corporate
107,Joshua Gonzales,Latvia,Growth,Moderate,individual
108,Christina Horn,Vanuatu,Balanced,Conservative,individual
109,Richard Johnston,Timor-Leste,Balanced,Aggressive,individual
110,Zachary Obrien,Somalia,Income,Aggressive,individual
111,Michael Fleming,Netherlands,Balanced,Conservative,corporate
112,Taylor Castro,Bahrain,Income,Aggressive,individual
113,Christina White,Tokelau,Balanced,Conservative,corporate
114,Jack Long,Somalia,Income,Moderate,corporate
115,Nicole Hart,Uganda,Growth,Conservative,individual
116,Mandy Torres,Nepal,Growth,Conservative,individual
117,Ms. Elizabeth Vasquez DDS,Tuvalu,Income,Aggressive,individual
118,David Camacho,Brunei Darussalam,Income,Aggressive,corporate
119,Judy Hawkins,Benin,Income,Aggressive,individual
120,Melissa Smith,Poland,Balanced,Aggressive,individual
121,Abigail Graves,Gambia,Income,Moderate,corporate
122,Jeanne Lopez,Puerto Rico,Balanced,Conservative,corporate
123,Willie Gillespie,Tajikistan,Balanced,Moderate,corporate
124,Mrs. Jessica Hickman,Belize,Income,Moderate,corporate
125,Bianca Harvey,Niger,Income,Aggressive,individual
126,Stacy Nguyen,Kiribati,Income,Conservative,individual
127,Dean Rice,Isle of Man,Growth,Aggressive,individual
128,Morgan Hill,Panama,Income,Moderate,individual
129,Courtney Wood,Argentina,Balanced,Conservative,corporate
130,Brenda Robinson,Palau,Income,Aggressive,individual
131,Steve Hanson,Bahrain,Growth,Conservative,corporate
